Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
2025-10-03,164.6699981689453,338.3699951171875,36.83000183105469,187.6199951171875,164.6699981689453,338.3699951171875,36.83000183105469,187.6199951171875,170.67999267578125,344.3999938964844,38.08000183105469,190.36000061035156,163.13999938964844,335.739990234375,36.45000076293945,185.3800048828125,170.67999267578125,341.5,37.95000076293945,189.19000244140625,42699100,14749100,125359300,137596900
2025-10-06,203.7100067138672,335.489990234375,36.59000015258789,185.5399932861328,203.7100067138672,335.489990234375,36.59000015258789,185.5399932861328,226.7100067138672,344.1300048828125,38.68000030517578,187.22999572753906,203.00999450683594,334.55999755859375,36.43000030517578,183.3300018310547,226.4499969482422,335.9200134277344,37.189998626708984,185.5,248859600,18465700,112086100,157678100
2025-10-07,211.50999450683594,336.4100036621094,37.16999816894531,185.0399932861328,211.50999450683594,336.4100036621094,37.16999816894531,185.0399932861328,218.89999389648438,338.1099853515625,38.04999923706055,189.05999755859375,209.27999877929688,326.5799865722656,36.349998474121094,184.0,214.85000610351562,337.0299987792969,36.63999938964844,186.22999572753906,115748100,18086700,111140200,140088000
2025-10-08,235.55999755859375,345.5,37.43000030517578,189.11000061035156,235.55999755859375,345.5,37.43000030517578,189.11000061035156,235.8699951171875,346.5400085449219,37.790000915527344,189.60000610351562,210.6999969482422,332.6199951171875,35.90999984741211,186.5399932861328,212.9499969482422,333.82000732421875,36.54999923706055,186.57000732421875,159983500,21478300,103202100,130168900
2025-10-09,232.88999938964844,345.0199890136719,37.79999923706055,192.57000732421875,232.88999938964844,345.0199890136719,37.79999923706055,192.57000732421875,240.10000610351562,347.30999755859375,38.099998474121094,195.3000030517578,229.52999877929688,340.3999938964844,36.86000061035156,191.05999755859375,236.3000030517578,345.75,37.529998779296875,192.22999572753906,94290700,17643700,89884700,182997200
2025-10-10,214.89999389648438,324.6300048828125,36.369998931884766,183.16000366210938,214.89999389648438,324.6300048828125,36.369998931884766,183.16000366210938,234.22000122070312,350.6000061035156,39.650001525878906,195.6199951171875,213.1999969482422,324.04998779296875,36.29999923706055,182.0500030517578,232.77000427246094,345.3900146484375,38.459999084472656,193.50999450683594,118656600,28941000,183063300,268774400
2025-10-13,216.4199981689453,356.70001220703125,37.220001220703125,188.32000732421875,216.4199981689453,356.70001220703125,37.220001220703125,188.32000732421875,224.19000244140625,359.3800048828125,37.5099983215332,190.11000061035156,214.89999389648438,343.5199890136719,36.279998779296875,185.9600067138672,220.1999969482422,352.7699890136719,36.439998626708984,187.97000122070312,63104000,45984300,104020700,153482800
2025-10-14,218.08999633789062,344.1300048828125,35.630001068115234,180.02999877929688,218.08999633789062,344.1300048828125,35.630001068115234,180.02999877929688,224.97999572753906,350.6700134277344,36.54999923706055,184.8000030517578,215.89999389648438,339.6499938964844,34.689998626708984,179.6999969482422,219.1999969482422,350.1300048828125,36.0,184.77000427246094,71216300,22078000,117908300,205641400
2025-10-15,238.60000610351562,351.3299865722656,37.150001525878906,179.8300018310547,238.60000610351562,351.3299865722656,37.150001525878906,179.8300018310547,239.24000549316406,359.3999938964844,37.4900016784668,184.8699951171875,220.75999450683594,347.5,35.63999938964844,177.2899932861328,222.7100067138672,354.4700012207031,36.400001525878906,184.8000030517578,108481000,23918500,99242700,214450500
2025-10-16,234.55999755859375,354.1499938964844,36.84000015258789,181.80999755859375,234.55999755859375,354.1499938964844,36.84000015258789,181.80999755859375,241.1999969482422,363.239990234375,38.02000045776367,183.27999877929688,232.24000549316406,349.489990234375,36.40999984741211,179.77000427246094,236.2899932861328,356.79998779296875,37.150001525878906,182.22999572753906,69726400,20317200,83357800,179723300
2025-10-17,233.0800018310547,349.3299865722656,37.0099983215332,183.22000122070312,233.0800018310547,349.3299865722656,37.0099983215332,183.22000122070312,235.3800048828125,350.9700012207031,38.380001068115234,184.10000610351562,227.91000366210938,340.7799987792969,36.08000183105469,179.75,233.25999450683594,349.6099853515625,36.36000061035156,180.17999267578125,55804200,20937900,119394700,173135200
2025-10-20,240.55999755859375,349.239990234375,38.099998474121094,182.63999938964844,240.55999755859375,349.239990234375,38.099998474121094,182.63999938964844,242.8800048828125,356.5899963378906,38.52000045776367,185.1999969482422,234.39999389648438,347.8399963378906,37.560001373291016,181.72999572753906,236.47000122070312,353.79998779296875,37.56999969482422,183.1300048828125,56741700,15640200,80230200,128544700
2025-10-21,238.02999877929688,342.6600036621094,38.119998931884766,181.16000366210938,238.02999877929688,342.6600036621094,38.119998931884766,181.16000366210938,242.25999450683594,351.1000061035156,38.349998474121094,182.7899932861328,234.02000427246094,341.30999755859375,37.66999816894531,179.8000030517578,239.38999938964844,350.0,38.13999938964844,182.7899932861328,47122400,16092600,73134900,124240200
2025-10-22,230.22999572753906,340.29998779296875,36.91999816894531,180.27999877929688,230.22999572753906,340.29998779296875,36.91999816894531,180.27999877929688,240.1300048828125,348.010009765625,37.93000030517578,183.44000244140625,224.8800048828125,335.510009765625,36.040000915527344,176.75999450683594,236.85000610351562,347.29998779296875,37.84000015258789,181.13999938964844,59668800,19268800,87099900,162249600
2025-10-23,234.99000549316406,344.2900085449219,38.15999984741211,182.16000366210938,234.99000549316406,344.2900085449219,38.15999984741211,182.16000366210938,235.89999389648438,346.57000732421875,38.400001525878906,183.02999877929688,228.5399932861328,340.3999938964844,36.43000030517578,179.7899932861328,230.16000366210938,340.3999938964844,36.599998474121094,180.4199981689453,39024400,12859200,121974200,111363700
